TransactionID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
1,whole milk,pastry,salty snack,,,,,,,
2,sausage,whole milk,semi-finished bread,yogurt,,,,,,
3,soda,pickled vegetables,,,,,,,,
4,canned beer,misc. beverages,,,,,,,,
5,sausage,hygiene articles,,,,,,,,
6,sausage,whole milk,rolls/buns,,,,,,,
7,whole milk,soda,,,,,,,,
8,frankfurter,soda,whipped/sour cream,,,,,,,
9,frankfurter,curd,,,,,,,,
10,beef,white bread,,,,,,,,
11,butter,whole milk,,,,,,,,
12,frozen vegetables,other vegetables,,,,,,,,
13,tropical fruit,sugar,,,,,,,,
14,butter milk,specialty chocolate,,,,,,,,
15,frozen meals,dental care,,,,,,,,
16,rolls/buns,rolls/buns,,,,,,,,
17,root vegetables,detergent,,,,,,,,
18,sausage,rolls/buns,,,,,,,,
19,dish cleaner,cling film/bags,,,,,,,,
20,canned beer,frozen fish,,,,,,,,
21,pip fruit,whole milk,tropical fruit,,,,,,,
22,root vegetables,whole milk,pastry,,,,,,,
23,rolls/buns,red/blush wine,chocolate,,,,,,,
24,other vegetables,shopping bags,,,,,,,,
25,whole milk,chocolate,packaged fruit/vegetables,rolls/buns,,,,,,
26,other vegetables,hygiene articles,,,,,,,,
27,whipped/sour cream,margarine,,,,,,,,
28,rolls/buns,rolls/buns,,,,,,,,
29,bottled water,softener,rolls/buns,,,,,,,
30,whole milk,rice,,,,,,,,
31,shopping bags,skin care,,,,,,,,
32,whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,
33,hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,
34,tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,
35,canned fish,cocoa drinks,,,,,,,,
36,herbs,yogurt,newspapers,,,,,,,
37,tropical fruit,yogurt,,,,,,,,
38,pastry,ketchup,,,,,,,,
39,pip fruit,coffee,UHT-milk,,,,,,,
40,bottled water,specialty bar,,,,,,,,
41,frankfurter,bottled water,,,,,,,,
42,kitchen towels,sliced cheese,,,,,,,,
43,pip fruit,candles,rolls/buns,,,,,,,
44,curd cheese,pastry,,,,,,,,
45,citrus fruit,candy,bottled water,rolls/buns,,,,,,
46,whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,
47,frozen vegetables,brown bread,,,,,,,,
48,frankfurter,yogurt,,,,,,,,
49,processed cheese,whole milk,,,,,,,,
50,tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,
51,hard cheese,napkins,bottled water,,,,,,,
52,whole milk,candy,,,,,,,,
53,tropical fruit,frozen vegetables,,,,,,,,
54,mustard,whipped/sour cream,,,,,,,,
55,other vegetables,mustard,,,,,,,,
56,root vegetables,mayonnaise,,,,,,,,
57,frozen meals,whole milk,,,,,,,,
58,white bread,meat,domestic eggs,roll products ,,,,,,
59,hamburger meat,butter milk,,,,,,,,
60,whole milk,rolls/buns,,,,,,,,
61,whole milk,sausage,bottled beer,yogurt,,,,,,
62,canned beer,cookware,,,,,,,,
63,fruit/vegetable juice,rolls/buns,chocolate,,,,,,,
64,salty snack,beef,,,,,,,,
65,citrus fruit,whole milk,,,,,,,,
66,soft cheese,pip fruit,,,,,,,,
67,UHT-milk,bottled beer,,,,,,,,
68,chicken,red/blush wine,,,,,,,,
69,rolls/buns,frankfurter,oil,pip fruit,mayonnaise,,,,,
70,other vegetables,root vegetables,,,,,,,,
71,yogurt,beef,,,,,,,,
72,brown bread,pet care,,,,,,,,
73,other vegetables,rolls/buns,,,,,,,,
74,soda,dessert,shopping bags,,,,,,,
75,curd,long life bakery product,,,,,,,,
76,beverages,domestic eggs,,,,,,,,
77,berries,cake bar,,,,,,,,
78,butter milk,root vegetables,,,,,,,,
79,hamburger meat,red/blush wine,,,,,,,,
80,frozen meals,butter,newspapers,yogurt,,,,,,
81,canned beer,shopping bags,,,,,,,,
82,canned beer,spices,rolls/buns,frozen fish,,,,,,
83,sliced cheese,butter,,,,,,,,
84,rolls/buns,baking powder,,,,,,,,
85,liquor,curd,yogurt,tropical fruit,,,,,,
86,beef,napkins,,,,,,,,
87,whole milk,whipped/sour cream,,,,,,,,
88,sausage,fruit/vegetable juice,,,,,,,,
89,chicken,frozen meals,,,,,,,,
90,male cosmetics,curd,,,,,,,,
91,domestic eggs,soda,,,,,,,,
92,sausage,whipped/sour cream,specialty bar,,,,,,,
93,whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables,,,,,,
94,white bread,bottled beer,yogurt,berries,,,,,,
95,fish,root vegetables,tropical fruit,other vegetables,,,,,,
96,coffee,shopping bags,,,,,,,,
97,ham,cream cheese ,,,,,,,,
98,canned beer,UHT-milk,,,,,,,,
99,root vegetables,long life bakery product,,,,,,,,
100,sausage,dessert,rolls/buns,pickled vegetables,,,,,,
101,citrus fruit,yogurt,,,,,,,,
102,fruit/vegetable juice,salty snack,candy,dental care,butter,,,,,
103,root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,
104,softener,salt,whole milk,,,,,,,
105,rolls/buns,bottled water,,,,,,,,
106,rolls/buns,red/blush wine,,,,,,,,
107,pork,hamburger meat,,,,,,,,
108,rolls/buns,baking powder,onions,bottled water,,,,,,
109,rolls/buns,sugar,,,,,,,,
110,soda,butter,,,,,,,,
111,onions,canned beer,flower (seeds),,,,,,,
112,specialty chocolate,root vegetables,,,,,,,,
113,dessert,ham,,,,,,,,
114,ice cream,pot plants,,,,,,,,
115,beverages,cream cheese ,,,,,,,,
116,other vegetables,other vegetables,berries,,,,,,,
117,whipped/sour cream,newspapers,,,,,,,,
118,white bread,whole milk,pastry,shopping bags,,,,,,
119,berries,soda,butter,other vegetables,white bread,cream cheese ,,,,
120,ice cream,whipped/sour cream,,,,,,,,
121,yogurt,root vegetables,,,,,,,,
122,frankfurter,pastry,,,,,,,,
123,fruit/vegetable juice,dessert,,,,,,,,
124,sausage,snack products,rolls/buns,,,,,,,
125,tropical fruit,soda,rolls/buns,,,,,,,
126,chicken,waffles,,,,,,,,
127,pip fruit,cling film/bags,yogurt,cat food,,,,,,
128,bottled water,domestic eggs,frozen meals,,,,,,,
129,tropical fruit,newspapers,,,,,,,,
130,whole milk,frozen vegetables,,,,,,,,
131,pip fruit,white wine,white bread,salt,,,,,,
132,whole milk,yogurt,yogurt,rolls/buns,,,,,,
133,sausage,frozen vegetables,,,,,,,,
134,whole milk,newspapers,,,,,,,,
135,fruit/vegetable juice,vinegar,,,,,,,,
136,tropical fruit,white bread,rolls/buns,,,,,,,
137,citrus fruit,shopping bags,chewing gum,cake bar,,,,,,
138,frankfurter,yogurt,canned beer,,,,,,,
139,margarine,napkins,,,,,,,,
140,whole milk,pip fruit,whipped/sour cream,,,,,,,
141,sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,
142,pip fruit,herbs,frozen meals,,,,,,,
143,other vegetables,specialty chocolate,,,,,,,,
144,Instant food products,whipped/sour cream,butter,cake bar,,,,,,
145,salty snack,rolls/buns,,,,,,,,
146,whole milk,pasta,rolls/buns,,,,,,,
147,yogurt,rolls/buns,,,,,,,,
148,root vegetables,white bread,,,,,,,,
149,tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,
150,chicken,frozen vegetables,candy,,,,,,,
151,tropical fruit,brown bread,whole milk,,,,,,,
152,prosecco,dessert,,,,,,,,
153,hamburger meat,yogurt,,,,,,,,
154,citrus fruit,bottled water,,,,,,,,
155,whole milk,other vegetables,,,,,,,,
156,beef,dessert,,,,,,,,
157,tropical fruit,sliced cheese,,,,,,,,
158,napkins,whole milk,chocolate marshmallow,,,,,,,
159,citrus fruit,rolls/buns,whole milk,,,,,,,
160,tropical fruit,other vegetables,,,,,,,,
161,root vegetables,curd,,,,,,,,
162,fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,
163,root vegetables,yogurt,butter,yogurt,,,,,,
164,chicken,onions,,,,,,,,
165,whole milk,pastry,,,,,,,,
166,pork,bottled water,,,,,,,,
167,pip fruit,soda,,,,,,,,
168,curd,soda,,,,,,,,
169,sweet spreads,butter,,,,,,,,
170,rolls/buns,condensed milk,whole milk,soda,,,,,,
171,rolls/buns,tropical fruit,,,,,,,,
172,specialty bar,margarine,,,,,,,,
173,butter,whole milk,,,,,,,,
174,white bread,candy,,,,,,,,
175,frankfurter,herbs,,,,,,,,
176,waffles,beverages,,,,,,,,
177,pasta,yogurt,cat food,,,,,,,
178,house keeping products,yogurt,,,,,,,,
179,whipped/sour cream,hygiene articles,,,,,,,,
180,UHT-milk,other vegetables,dishes,,,,,,,
181,meat,whole milk,,,,,,,,
182,hamburger meat,bottled beer,,,,,,,,
183,pork,coffee,frozen vegetables,,,,,,,
184,shopping bags,shopping bags,,,,,,,,
185,fish,tropical fruit,red/blush wine,cream cheese ,,,,,,
186,other vegetables,soda,rolls/buns,dishes,,,,,,
187,tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,
188,root vegetables,grapes,,,,,,,,
189,chicken,beverages,coffee,,,,,,,
190,beef,shopping bags,,,,,,,,
191,soda,hamburger meat,,,,,,,,
192,butter,dog food,,,,,,,,
193,soda,whole milk,,,,,,,,
194,bottled water,chewing gum,,,,,,,,
195,frankfurter,whipped/sour cream,,,,,,,,
196,butter milk,yogurt,yogurt,margarine,,,,,,
197,pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,
198,soda,soda,,,,,,,,
199,chicken,frozen vegetables,,,,,,,,
200,waffles,rolls/buns,,,,,,,,